version,group,sample_count,tp,fp,fn,tn,mIoU_percent,mDice_percent,background_IoU_percent,background_Dice_percent,forgery_IoU_percent,forgery_Dice_percent,accuracy_percent,false_positive_rate_percent
v1.0.0,authentic,15,0,1086,0,4118174,49.986818,49.993408,99.973636,99.986816,0.0,0.0,99.973636,0.026364
v1.0.0,casia,15,129760,73198,756471,1147323,35.779241,48.635837,58.03377,73.444771,13.524711,23.826902,60.618573,5.997275
v1.0.0,copymove,15,174,3,155692,4082555,48.219032,49.175931,96.326432,98.128847,0.111632,0.223015,96.326583,7.3e-05
v1.0.0,face,15,0,21706,1058286,3810008,38.957137,43.793155,77.914274,87.58631,0.0,0.0,77.914274,0.566483
v1.0.0,imd2020,15,53886,236756,542173,9432270,49.421081,54.094466,92.371816,96.034667,6.470345,12.154266,92.41186,2.448602
v1.0.0,inpainting,15,0,3119,157962,3765639,47.948912,48.95298,95.897823,97.905961,0.0,0.0,95.897823,0.082759
v1.0.0,splicing,15,7192,407,41925,4196236,56.761759,62.429789,99.001266,99.498127,14.522252,25.36145,99.002958,0.009698
v1.0.1,authentic,15,0,0,0,4119260,100.0,100.0,100.0,100.0,,,100.0,0.0
v1.0.1,casia,15,0,0,886231,1220521,28.966888,36.682322,57.933777,73.364644,0.0,0.0,57.933777,0.0
v1.0.1,copymove,15,0,0,155866,4082558,48.161274,49.063416,96.322548,98.126832,0.0,0.0,96.322548,0.0
v1.0.1,face,15,0,3879,1058286,3827835,39.139417,43.908092,78.278834,87.816184,0.0,0.0,78.278834,0.101234
v1.0.1,imd2020,15,69,13640,595990,9655386,47.036204,48.481151,94.061091,96.93967,0.011317,0.022632,94.061131,0.141069
v1.0.1,inpainting,15,117845,10538,40117,3758220,84.303883,90.820195,98.67008,99.330589,69.937685,82.309801,98.709992,0.279615
v1.0.1,splicing,15,0,0,49117,4196643,49.421576,49.709105,98.843152,99.418211,0.0,0.0,98.843152,0.0
v1.0.2,authentic,15,0,666,0,4118594,49.991916,49.995958,99.983832,99.991915,0.0,0.0,99.983832,0.016168
v1.0.2,casia,15,135256,73159,750975,1147362,36.147828,49.144029,58.197531,73.575777,14.098125,24.712281,60.8813,5.99408
v1.0.2,copymove,15,3,0,155863,4082558,48.162271,49.065358,96.322616,98.126867,0.001925,0.003849,96.322619,0.0
v1.0.2,face,15,0,1827,1058286,3829887,39.160399,43.921292,78.320798,87.842583,0.0,0.0,78.320798,0.047681
v1.0.2,imd2020,15,8538,20777,587521,9648249,47.726667,49.837244,94.069174,96.943963,1.38416,2.730526,94.074107,0.214882
v1.0.2,inpainting,15,97110,35366,60852,3733392,73.85911,82.799598,97.487525,98.72778,50.230696,66.871415,97.54966,0.938399
v1.0.2,splicing,15,0,433,49117,4196210,49.416477,49.706526,98.832953,99.413052,0.0,0.0,98.832953,0.010318
v1.0.3,authentic,15,0,397,0,4118863,49.995181,49.99759,99.990362,99.995181,0.0,0.0,99.990362,0.009638
v1.0.3,casia,15,131009,74772,755222,1145749,35.811659,48.702201,57.990791,73.410344,13.632528,23.994059,60.603146,6.126236
v1.0.3,copymove,15,0,0,155866,4082558,48.161274,49.063416,96.322548,98.126832,0.0,0.0,96.322548,0.0
v1.0.3,face,15,0,6211,1058286,3825503,39.115573,43.893083,78.231145,87.786167,0.0,0.0,78.231145,0.162095
v1.0.3,imd2020,15,25055,49400,571004,9619626,48.911559,52.174715,93.941385,96.876059,3.881734,7.473371,93.956173,0.51091
v1.0.3,inpainting,15,113188,25218,44774,3743540,79.977615,87.728618,98.164641,99.073821,61.790588,76.383415,98.217545,0.669133
v1.0.3,splicing,15,2250,49,46867,4196594,51.73537,54.098135,98.894406,99.44413,4.576333,8.752139,98.894992,0.001168
v1.0.4,authentic,15,0,179,0,4119081,49.997827,49.998914,99.995655,99.997827,0.0,0.0,99.995655,0.004345
v1.0.4,casia,15,238,224,885993,1220297,28.978269,36.707524,57.929689,73.361366,0.026849,0.053683,57.934441,0.018353
v1.0.4,copymove,15,0,0,155866,4082558,48.161274,49.063416,96.322548,98.126832,0.0,0.0,96.322548,0.0
v1.0.4,face,15,1054976,217679,3310,3614035,88.459124,93.776326,94.237611,97.03333,82.680638,90.519322,95.480798,5.680982
v1.0.4,imd2020,15,0,57155,596059,9611871,46.818273,48.356856,93.636546,96.713712,0.0,0.0,93.636546,0.591114
v1.0.4,inpainting,15,28050,629,129912,3768129,57.16933,64.177513,96.651653,98.297321,17.687006,30.057704,96.675571,0.01669
v1.0.4,splicing,15,6194,343401,42923,3853242,46.232834,49.166667,90.887652,95.226329,1.578017,3.107005,90.900946,8.182755
v1.0.5,authentic,15,0,391,0,4118869,49.995254,49.997627,99.990508,99.995254,0.0,0.0,99.990508,0.009492
v1.0.5,casia,15,529851,50895,356380,1169626,65.356219,78.704199,74.172443,85.171273,56.539996,72.237124,80.668109,4.169941
v1.0.5,copymove,15,2962,3049,152904,4079509,49.090906,50.892,96.317922,98.124431,1.86389,3.659569,96.320496,0.074684
v1.0.5,face,15,1049680,21445,8606,3810269,98.217147,99.097986,99.217487,99.607207,97.216807,98.588765,99.38546,0.559671
v1.0.5,imd2020,15,53087,75821,542972,9593205,50.920896,55.76048,93.94053,96.875604,7.901262,14.645356,93.971867,0.784164
v1.0.5,inpainting,15,42163,3354,115799,3765404,61.534774,69.942275,96.932649,98.442437,26.136899,41.442114,96.965585,0.088995
v1.0.5,splicing,15,44397,10680,4720,4185963,86.939826,92.518134,99.633452,99.81639,74.2462,85.219878,99.637285,0.254489
