version,category,case_id,image_path,mask_path,width,height,threshold_percent,tp,fp,fn,tn,mIoU_percent,mDice_percent,background_IoU_percent,background_Dice_percent,forgery_IoU_percent,forgery_Dice_percent,accuracy_percent,false_positive_rate_percent,det_score,det_pred_label,det_correct
v1.0.0,authentic,authentic/au_usb_000000000036_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000036_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000036_jpg.png,481,640,50.0,0,0,0,307840,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000092_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000092_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000092_jpg.png,640,427,50.0,0,0,0,273280,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000247_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000247_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000247_jpg.png,640,424,50.0,0,0,0,271360,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000263_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000263_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000263_jpg.png,591,640,50.0,0,0,0,378240,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000322_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000322_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000322_jpg.png,640,481,50.0,0,46,0,307794,49.992529,49.996264,99.985057,99.992528,0.0,0.0,99.985057,0.014943,,,
v1.0.0,authentic,authentic/au_usb_000000000359_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000359_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000359_jpg.png,500,332,50.0,0,1040,0,164960,49.686747,49.842881,99.373494,99.685763,0.0,0.0,99.373494,0.626506,,,
v1.0.0,authentic,authentic/au_usb_000000000360_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000360_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000360_jpg.png,500,375,50.0,0,0,0,187500,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000488_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000488_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000488_jpg.png,640,406,50.0,0,0,0,259840,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000529_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000529_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000529_jpg.png,427,640,50.0,0,0,0,273280,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
v1.0.0,authentic,authentic/au_usb_000000000532_jpg,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/images/test/au_usb_000000000532_jpg.png,/home/panuwat/Pictures/Test-Cases/with_mask/authentic/annotations/test/au_usb_000000000532_jpg.png,640,480,50.0,0,0,0,307200,100.0,100.0,100.0,100.0,,,100.0,0.0,,,
